path,true_label,predicted_label,prob_pneumonia,confidence,error_type,coarse_type
test/PNEUMONIA/person706_virus_1304.jpeg,PNEUMONIA,NORMAL,0.00084679,0.99915321,high_confidence_false_negative,false_negative
test/PNEUMONIA/person1461_virus_2510.jpeg,PNEUMONIA,NORMAL,0.00374366,0.99625634,high_confidence_false_negative,false_negative
test/PNEUMONIA/person154_bacteria_728.jpeg,PNEUMONIA,NORMAL,0.00433445,0.99566555,high_confidence_false_negative,false_negative
test/PNEUMONIA/person788_virus_1419.jpeg,PNEUMONIA,NORMAL,0.00789382,0.99210618,high_confidence_false_negative,false_negative
test/PNEUMONIA/person279_virus_576.jpeg,PNEUMONIA,NORMAL,0.01416894,0.98583106,high_confidence_false_negative,false_negative
test/PNEUMONIA/person1191_virus_2032.jpeg,PNEUMONIA,NORMAL,0.09532512,0.90467488,high_confidence_false_negative,false_negative
test/PNEUMONIA/person498_bacteria_2100.jpeg,PNEUMONIA,NORMAL,0.18230382,0.81769618,false_negative,false_negative
test/PNEUMONIA/person1175_virus_1981.jpeg,PNEUMONIA,NORMAL,0.18670431,0.81329569,false_negative,false_negative
test/PNEUMONIA/person1476_virus_2560.jpeg,PNEUMONIA,NORMAL,0.21618640,0.78381360,false_negative,false_negative
test/PNEUMONIA/person301_virus_622.jpeg,PNEUMONIA,NORMAL,0.23087490,0.76912510,false_negative,false_negative
test/PNEUMONIA/person295_virus_612.jpeg,PNEUMONIA,NORMAL,0.27683398,0.72316602,false_negative,false_negative
test/PNEUMONIA/person12_bacteria_46.jpeg,PNEUMONIA,NORMAL,0.28928214,0.71071786,false_negative,false_negative
test/PNEUMONIA/person1173_virus_1978.jpeg,PNEUMONIA,NORMAL,0.29769576,0.70230424,false_negative,false_negative
test/PNEUMONIA/person1161_virus_1948.jpeg,PNEUMONIA,NORMAL,0.31341225,0.68658775,false_negative,false_negative
test/PNEUMONIA/person280_virus_577.jpeg,PNEUMONIA,NORMAL,0.31618032,0.68381968,false_negative,false_negative
test/PNEUMONIA/person498_bacteria_2102.jpeg,PNEUMONIA,NORMAL,0.34260485,0.65739515,false_negative,false_negative
test/PNEUMONIA/person1182_virus_2017.jpeg,PNEUMONIA,NORMAL,0.34990802,0.65009198,false_negative,false_negative
test/PNEUMONIA/person274_bacteria_1290.jpeg,PNEUMONIA,NORMAL,0.39526230,0.60473770,false_negative,false_negative
test/PNEUMONIA/person506_bacteria_2138.jpeg,PNEUMONIA,NORMAL,0.39636680,0.60363320,false_negative,false_negative
test/PNEUMONIA/person678_bacteria_2572.jpeg,PNEUMONIA,NORMAL,0.45784378,0.54215622,false_negative,false_negative
test/PNEUMONIA/person104_virus_191.jpeg,PNEUMONIA,NORMAL,0.46889767,0.53110233,false_negative,false_negative
test/NORMAL/NORMAL2-IM-0232-0001.jpeg,NORMAL,PNEUMONIA,0.98654330,0.98654330,high_confidence_false_positive,false_positive
test/NORMAL/IM-0022-0001.jpeg,NORMAL,PNEUMONIA,0.98334736,0.98334736,high_confidence_false_positive,false_positive
test/NORMAL/NORMAL2-IM-1064-0001.jpeg,NORMAL,PNEUMONIA,0.97246265,0.97246265,high_confidence_false_positive,false_positive
test/NORMAL/NORMAL2-IM-0222-0001.jpeg,NORMAL,PNEUMONIA,0.94603950,0.94603950,high_confidence_false_positive,false_positive
test/NORMAL/NORMAL2-IM-0315-0001.jpeg,NORMAL,PNEUMONIA,0.92419016,0.92419016,high_confidence_false_positive,false_positive
test/NORMAL/NORMAL2-IM-0659-0001.jpeg,NORMAL,PNEUMONIA,0.76585644,0.76585644,false_positive,false_positive
test/NORMAL/NORMAL2-IM-0330-0001.jpeg,NORMAL,PNEUMONIA,0.73974240,0.73974240,false_positive,false_positive
test/NORMAL/NORMAL2-IM-1401-0001.jpeg,NORMAL,PNEUMONIA,0.72461289,0.72461289,false_positive,false_positive
test/NORMAL/NORMAL2-IM-1427-0001.jpeg,NORMAL,PNEUMONIA,0.62746149,0.62746149,false_positive,false_positive
test/NORMAL/NORMAL2-IM-1086-0001.jpeg,NORMAL,PNEUMONIA,0.60084146,0.60084146,false_positive,false_positive
test/NORMAL/NORMAL2-IM-1379-0001.jpeg,NORMAL,PNEUMONIA,0.56636900,0.56636900,false_positive,false_positive
test/NORMAL/NORMAL2-IM-1436-0001.jpeg,NORMAL,PNEUMONIA,0.56273425,0.56273425,false_positive,false_positive
test/NORMAL/NORMAL2-IM-1406-0001.jpeg,NORMAL,PNEUMONIA,0.53708500,0.53708500,false_positive,false_positive
test/PNEUMONIA/person299_virus_620.jpeg,PNEUMONIA,PNEUMONIA,0.59524983,0.59524983,correct_borderline,correct
test/PNEUMONIA/person1138_virus_1877.jpeg,PNEUMONIA,PNEUMONIA,0.57519293,0.57519293,correct_borderline,correct
test/PNEUMONIA/person1199_bacteria_3149.jpeg,PNEUMONIA,PNEUMONIA,0.55676007,0.55676007,correct_borderline,correct
test/PNEUMONIA/person732_virus_1353.jpeg,PNEUMONIA,PNEUMONIA,0.55650544,0.55650544,correct_borderline,correct
test/NORMAL/NORMAL2-IM-0980-0001.jpeg,NORMAL,NORMAL,0.45350620,0.54649380,correct_borderline,correct
test/PNEUMONIA/person954_virus_1626.jpeg,PNEUMONIA,PNEUMONIA,0.54228461,0.54228461,correct_borderline,correct
test/PNEUMONIA/person16_virus_47.jpeg,PNEUMONIA,PNEUMONIA,0.53069878,0.53069878,correct_borderline,correct
test/PNEUMONIA/person273_virus_562.jpeg,PNEUMONIA,PNEUMONIA,0.52040732,0.52040732,correct_borderline,correct
